id,created_at,matched column,itemid,title,sku,ebay_price,site,Product Code,Product Description,RRP,Price,Carton Qty,Carton Price,Pallet Qty,Pallet Price,Product Brand,Product Category,market_price_searchAPI,calculation_price,final_price,date,Final_price
14844,2025-09-25 05:02:43.075348+00,10002,405591607836,,10002,58.14,,10002,BD Biscuit Mixed 5kg *,28.16,21.66,,,,,Black Dog Pet Foods,Pet Treats,"227
",57.56,227,2025-10-23,58.14
14845,2025-09-25 05:02:43.075348+00,10003,405591250913,"Blackdog Biscuits Charcoal
",10003,58.14,,10003,BD Biscuit Charcoal 5kg  *,28.16,21.66,,,,,Black Dog Pet Foods,Pet Treats,"44.99
",57.56,57.56,2025-10-23,58.14
14846,2025-09-25 05:02:43.075348+00,10004,405696753426,Pharmachem Piperazine Solution,10004,56.5,,10004,Pharmachem Piperazine Solution 500ml**@@,39.04,26.92,,,,,Pharmachem,Small Animal Health,"25
",66.91,66.91,2025-10-23,66.91
14847,2025-09-25 05:02:43.075348+00,10008,405737376340,,10008,52.3,,10008,McMahon Shell Coarse 20kg BRI SYD TAM *,30.59,21.85,,,,,McMahon Shell Grit,Poultry Food,"33.6
",57.9,57.9,2025-10-23,57.9
14848,2025-09-25 05:02:43.075348+00,10009,405737377181,"McMahon Shell Grit - Fine - 20kg
",10009,55.15,,10009,McMahon Shell Fine Dry 20kg BRI SYD TAM*,33.01,23.58,,,,,McMahon Shell Grit,Poultry Food,"39.95
",60.98,60.98,2025-10-23,60.98
14849,2025-09-25 05:02:43.075348+00,10010,405737377577,"McMahon Shell Grit Fine 20kg
",10010,57.05,,10010,McMahon Shell Fine Red 20kg BRI SYD TAM*,34.62,24.73,,,,,McMahon Shell Grit,Poultry Food,"57.05
",63.02,63.02,2025-10-23,63.02
14850,2025-09-25 05:02:43.075348+00,10011,405740373806,"McMahon Shell Grit Medium 20kg
",10011,55.15,,10011,McMahon Shell Medium 20kg BRI SYD TAM *,33.01,23.58,,,,,McMahon Shell Grit,Poultry Food,"39.95
",60.98,60.98,2025-10-23,60.98
14851,2025-09-25 05:02:43.075348+00,10012,405740376341,"Mcmahon Shell Grit Pigeon 20kg
",10012,57.05,,10012,McMahon Shell Pigeon 20kg BRI SYD TAM *,34.62,24.73,,,,,McMahon Shell Grit,Poultry Food,"41.95
",63.02,63.02,2025-10-23,63.02
14852,2025-09-25 05:02:43.075348+00,10028,405740382709,,10028,36.45,,10028,Qld Organics Organic Booster 25kg ##,20.07,13.84,,,,,Farm Various,Fertiliser,"19.95
",43.66,43.66,2025-10-23,43.66
14853,2025-09-25 05:02:43.075348+00,10030,405740382879,QLD Organics Organic Xtra Fertiliser 25kg,10030,50.35,,10030,Qld Organics Organic Xtra 25kg ##,31.7,21.87,,,40,21.87,Farm Various,Fertiliser,"40.43
",57.93,57.93,2025-10-23,57.93
14854,2025-09-25 05:02:43.075348+00,10032,405740384494,"QLD Organics Eco 88s Fertiliser Granules Blend 16kg
",10032,64.25,,10032,Qld Organics Eco 88 S 16kg ##,43.34,29.89,,,,,Farm Various,Fertiliser,"42.95
",72.19,72.19,2025-10-23,72.19
