product_code,product_name,price,availability,description,category,brand,image_url,stock_status,scrape_status,error_message,location_Local,location_Other,location_Branch
10002.0,SILO BAG GRAIN BAG 9FT X 75MT RF **,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10003.0,,,,,,,,,success,,,,Sydney
10004.0,,,,,,,,,success,,,,Sydney
10008.0,RIDLEY PALASTART AS ORD (INV PRICE)##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10009.0,ALTUS RENEWABLES AS ORD (INV PRICE) ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10010.0,ARS PREM HOSE12MMX18M(FITTED)ARS1497**@@,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10011.0,ARS PREM HOSE12MMX30M(FITTED)ARS1503**@@,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10012.0,ARS PREM HOSE 18MMX18M ARS1527 **@@,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10028.0,,,,,,,,,success,,,,Sydney
10030.0,OMEGA GREYSTRIPE SUNFLOWER 25KG (SYD)**,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10032.0,,,,,,,,,success,,,,Sydney
10049.0,CHOOKETERIA DOUBLE 10KG ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10060.0,TECHWARE AS ORD EX GST (INV PRICE) ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10082.0,,,,,,,,,success,,,,Sydney
10083.0,,,,,,,,,success,,,,Sydney
10088.0,NEUTROG UPSERGE 20KG **,,In Stock (35 available),,,,,In Stock,success,,8,27,Sydney
10101.0,CHF ORG BACKYARD LAY PELLET20KG(MEL)**@@,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10103.0,CHF VIRTUE ORGANIC ADULT DOG 8KG(MEL**@@,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10104.0,,,,,,,,,success,,,,Sydney
10105.0,,,,,,,,,success,,,,Sydney
10106.0,,,,,,,,,success,,,,Sydney
10108.0,,,,,,,,,success,,,,Sydney
10113.0,JD MONSTER TREADS DUMP TRUCK 12C 46039##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10120.0,JD JOHNNY TRACTOR FIX IT UP 35063 ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10122.0,JD BUCKET AND TRACTOR SET 37694 ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10123.0,JD BIG SCOOP EXCAVATOR 38CM 35765 *,,In Stock (27 available),,,,,In Stock,success,,0,27,Sydney
10124.0,JD BIG SCOOP TRUCK DUMP 38CM 35766 *,,In Stock (14 available),,,,,In Stock,success,,3,11,Sydney
10125.0,JD TRACTOR BIG SCOOP 53CM ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10137.0,IO AMMONIUM SULPHATE FERT (TBD) 25KG ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10139.0,VIRBAC CYDECTIN PO + FLUKE 2LTRS **,,In Stock (4 available),,,,,In Stock,success,,3,1,Sydney
10140.0,VIRBAC CYDECTIN PO + FLUKE 5LTRS **,,In Stock (7 available),,,,,In Stock,success,,0,7,Sydney
10187.0,CM LABS FLYGON GOLD 5LTRS **,,In Stock (162 available),,,,,In Stock,success,,95,67,Sydney
1019.0,NOVARTIS FASIMEC SHEEP 5LTR (DISC) ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10193.0,OMYA AS ORDERED (MU1%) ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10195.0,CHF ORG CHICK START GROW MASH 20KG (SYD*,,In Stock (7 available),,,,,In Stock,success,,7,0,Sydney
10221.0,RANVET ALLWORMER FOR DOGS 25KG 50TAB **,,In Stock (50 available),,,,,In Stock,success,,8,42,Sydney
10222.0,APPARENT CHECK MATE 1000L (TRIALLATE) **,,In Stock (7 available),,,,,In Stock,success,,0,7,Sydney
10230.0,APPARENT 24D ESTER 680 110LTRS **,,In Stock (130 available),,,,,In Stock,success,,0,130,Sydney
10231.0,TOPTAC INT. AS ORDERED (INV PRICE) ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10241.0,,,,,,,,,success,,,,Sydney
10242.0,PRODAIRY BOOSTY CALF 15MLS ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10243.0,PRODAIRY BOOSTY CALF 60MLS (MULTI) ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10246.0,PATRIOT 0.5J (PTT PMX5) ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10248.0,SUNDRY CLEARANCE ITEMS **,,In Stock (43 available),,,,,In Stock,success,,0,43,Sydney
10250.0,VIRBAC CYDECTIN PLUS COMBAT PACK ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10251.0,,,,,,,,,success,,,,Sydney
10255.0,COPRICE WORKING DOG FORMULA 20KG (DAR)##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
10258.0,,,,,,,,,success,,,,Sydney
10260.0,,,,,,,,,success,,,,Sydney
10271.0,,,,,,,,,success,,,,Sydney
10272.0,,,,,,,,,success,,,,Sydney
10274.0,COPRICE BEDDING RICE HULL 125KG (DAR) ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
